full_expression,abbreviation
abbreviate,abbr
abbreviation,abbr
abbreviations,abbrs
absolute,abs
argument,arg
arguments,args
attribute,attr
attributes,attrs
authenticate,auth
authentication,auth
authentications,auths
auxiliary,aux
background,bg
bibliography,bib
bibliographies,bibs
certificate,cert
certification,cert
certificates,certs
certifications,certs
chapter,chpt
chapters,chpts
character,chr
characters,chrs
column,col
columns,cols
command,cmd
commands,cmds
combination,combo
combinations,combos
condition,cnd
conditions,cnds
configure,config
configuration,config
configurations,configs
current,cur
database,db
dataframe,df
dataframes,dfs
dataframe column,dfc
dataframe row,dfr
define,def
definition,def
definitions,defs
delete,del
deletion,del
deletions,dels
depend,dep
dependency,dep
dependencies,deps
develop,dev
development,dev
developer,dev
developments,devs
developers,devs
dictionary,dict
dictionaries,dicts
differentiate,diff
difference,diff
differences,diffs
directory,dir
directories,dirs
distribution,distro
distributions,distros
document,doc
documents,docs
double,dbl
doubles,dbls
duplicate,dupl
duplicates,dupls
duplication,dupl
duplications,dupls
dynamic,dyn
element,el
elements,els
enumerate,enum
enumeration,enum
enumerations,enums
environment,env
environments,envs
evaluate,eval
evaluation,eval
evaluations,evals
execute,exec
execution,exec
executions,execs
exclude,excl
exclusion,excl
expression,expr
expressions,exprs
extend,ext
extension,ext
extensions,exts
factor,fct
factors,fcts
figure,fig
figures,figs
filesystem,fs
foreign key,fk
foreign keys,fks
formula,fm
formulas,fms
formulae,fms
frequent,freq
frequency,freq
frequencies,freqs
function,fn
functions,fns
generate,gen
generation,gen
generations,gens
identify,id
identifier,id
identifiers,ids
image,img
images,imgs
include,incl
inclusion,incl
index,i
indexes,ix
indices,ix
information,info
initialize,init
initialization,init
install,instl
installation,instl
integer,int
integers,ints
iterate,itr
iteration,itr
iterator,itr
iterations,itrs
iterators,itrs
label,lbl
labels,lbls
language,lang
languages,langs
left-hand side,lhs
level,lvl
levels,lvls
library,lib
libraries,libs
limit,lim
limits,lims
list,ls
logical,lgl
logicals,lgls
management,mgmt
Markdown,md
message,msg
messages,msgs
modify,mod
modification,mod
modifications,mods
not available,na
not a number,nan
number,nr
numbers,nrs
number of,n
numeric,num
numerics,nums
object,obj
objects,objs
operate,op
operation,op
operations,ops
operator,op
operators,ops
option,opt
options,opts
package,pkg
packages,pkgs
parameterize,param
parameter,param
parameters,params
position,pos
PostgreSQL,pg
predicate,pred
predicates,preds
preparation,prep
preparations,preps
primary key,pk
primary keys,pks
proceed,prcd
procedure, prcd
procedures,prcds
property,prop
properties,props
prototype,ptype
prototypes,ptypes
Quarto Markdown,qmd
question,qstn
questions,qstns
questionnaire,qstnr
questionnaires,qstnrs
R Markdown,rmd
refer,ref
reference,ref
references,refs
referendum,rfrnd
referendums,rfrnds
referenda,rfrnds
regular expression,regex
regular expressions,regex
relative,rel
remove,rm
removal,rm
repository,repo
repositories,repos
request,req
requests,reqs
respond,resp
response,resp
responses,resps
right-hand side,rhs
roxygen2,roxy
separate,sep
separator,sep
separators,seps
sequence,seq
sequences,seqs
snippet,snip
snippets,snips
source,src
sources,srcs
specify,spec
specification,spec
specifications,specs
string,str
strings,strs
structure,struct
structures,structs
supplemental,suppl
supplementary,suppl
symbolize,sym
symbol,sym
symbols,syms
tabulate,tbl
table,tbl
tables,tbls
template,tpl
templates,tpls
temporary,tmp
user interface,ui
user experience,ux
value,val
values,vals
variable,var
variables,vars
vectorize,vctr
vector,vctr
vectors,vctrs
verbatim,verb
version,vrsn
versions,vrsns
working directory,wd
